time,lon,lat,depth,mag
2023-12-24T06:09:20.068000Z,-179.9149,52.2633,178.04,2.8
2023-12-24T06:00:52.491000Z,117.8425,-7.9232,15.846,4.6
2023-12-24T05:28:03.099000Z,144.8577,19.7042,10.0,4.2
2023-12-24T04:20:05.450000Z,-168.167167,53.396333,0.51,0.31
2023-12-24T03:10:28.419000Z,145.3923,20.2147,10.0,4.3
2023-12-24T03:02:06.352000Z,126.5233,8.5352,51.097,5.1
2023-12-24T02:28:06.868000Z,126.6391,8.1184,71.685,4.6
2023-12-24T02:21:19.855000Z,-175.2948,51.3354,30.27,3.2
2023-12-24T02:20:44.377000Z,127.0403,8.2927,57.029,5.3
2023-12-24T02:05:54.905000Z,104.8131,-7.1437,26.163,4.9
2023-12-24T02:02:51.931000Z,126.8172,8.5627,37.658,4.6
2023-12-24T01:56:12.240000Z,-175.3077,51.1597,10.0,2.5
2023-12-24T01:53:59.750000Z,-175.3309,51.4313,35.0,2.8
2023-12-24T01:50:37.673000Z,178.4622,51.7168,71.516,3.9
2023-12-23T22:53:31.305000Z,-175.2311,51.6471,49.332,2.8
2023-12-23T22:33:35.321000Z,-178.1647,51.1987,35.0,3.2
2023-12-23T22:29:30.208000Z,146.3002,18.6553,9.916,4.4
2023-12-23T22:13:44.380000Z,-166.729667,53.910333,3.49,-0.48
2023-12-23T21:54:16.249000Z,126.4805,6.7503,10.612,4.2
2023-12-23T21:21:16.807000Z,121.3905,22.5969,17.741,4.2
2023-12-23T21:07:50.868000Z,121.4195,22.6197,19.191,4.2
2023-12-23T20:38:24.003000Z,141.3365,33.2631,35.333,4.1
2023-12-23T19:44:59.770000Z,179.679,51.877333,6.23,1.85
2023-12-23T19:28:55.040000Z,-177.209333,51.961,5.95,0.82
2023-12-23T19:24:11.935000Z,59.8471,17.1945,10.0,4.6
2023-12-23T19:23:31.610000Z,-177.7875,51.6009,76.4,2.2
2023-12-23T19:19:09.390000Z,-177.797167,51.857167,4.18,0.82
2023-12-23T19:06:44.003000Z,-173.9475,52.0847,134.189,3.1
2023-12-23T19:03:26.950000Z,144.0306,21.6796,165.772,4.3
2023-12-23T18:43:06.580000Z,-177.1515,51.913167,9.51,-0.03
2023-12-23T17:48:04.263000Z,158.9701,51.9393,33.635,5.8
2023-12-23T17:36:42.320000Z,-177.494667,51.778667,-1.8,1.28
2023-12-23T17:15:48.840000Z,179.5295,51.912833,10.03,1.24
2023-12-23T17:08:53.913000Z,-172.7794,50.6762,10.0,2.7
2023-12-23T16:45:09.530000Z,-176.5754,51.1725,19.3,2.2
2023-12-23T16:39:12.799000Z,-176.6182,51.0242,16.2,2.2
2023-12-23T16:38:34.934000Z,126.8234,8.8625,35.0,5.2
2023-12-23T15:55:07.541000Z,-174.8885,63.8604,10.0,3.0
2023-12-23T15:31:02.853000Z,168.8317,53.9199,23.517,5.0
2023-12-23T15:07:44.860000Z,128.2638,1.3866,10.0,4.7
2023-12-23T14:50:34.260000Z,-166.942333,53.890167,8.52,0.15
2023-12-23T14:32:27.925000Z,-177.3804,51.8406,79.3,2.2
2023-12-23T14:29:52.692000Z,-177.4991,51.8215,11.0,1.29
2023-12-23T14:28:28.446000Z,-175.418,51.2635,13.1,2.1
2023-12-23T14:22:26.625000Z,126.7418,8.1936,41.829,5.1
